Country	Type	Mountain	Latitude	Longitude	Elevation	Error
Chile    Mountain	Cerro Risco Bayo	-34.299958	-71.218016	901 m	IncorrectNumberOfColumns
Chile	Mountain	Cerro Mancumán	-34.414249	-71.345908	???? m	NonNumericElevation
Chile	Mountain	Cerro El Jote	-29.995756	-71.170221 839 m	IncorrectNumberOfColumns
Chile	Volcano	Volcán Churicagua	-17.857906	-69.492687	5256		IncorrectNumberOfColumns
Chile    Mountain	Cerro Moreno	-22.982317	-67.153988	4524 m	IncorrectNumberOfColumns
Chile	Volcano	Volcán Puntiagudo	-40.974045	-72.266216	2498		IncorrectNumberOfColumns
Chile    Mountain	Cerro El Mirador	-39.202113	-72.610524	520 m	IncorrectNumberOfColumns
Chile	Mountain	Cerro Las Sierrecillas	-33.966890	-70.856538	???? m	NonNumericElevation
Colombia    Mountain	Cerro	7.291370	-72.806362	4008 m	IncorrectNumberOfColumns
Colombia	Mountain	Loma San Jeronimo	5.812631	-73.317684	3310		IncorrectNumberOfColumns
Colombia	Mountain	P.	7.636135	-76.433180	1121		IncorrectNumberOfColumns
Ecuador	Mountain	Genovesa	??????	??????	64 m	NonNumericLatitude
Ecuador	Mountain	Ilaló    -0.258002	-78.410616	3150 m	IncorrectNumberOfColumns
Ecuador	Mountain	Monja Chica	-1.682701	-78.411941	5080 ??	InvalidElevationUnit
Ecuador	Mountain	Cuniburo	-0.037132	-78.152913 3346 m	IncorrectNumberOfColumns
Ecuador	Mountain	Cerro Arquitecto	??????	??????	4307 m	NonNumericLatitude
Ecuador	Mountain	Cerro Cabeza	-0.999432	-78.876824	???? m	NonNumericElevation
Ecuador	Mountain	El Centinela    -0.478938	-79.030175	2570 m	IncorrectNumberOfColumns
Ethiopia	Mountain	Ualle Issi	11.420321	41.326805 492 m	IncorrectNumberOfColumns
Czechia	Mountain	Otava	49.735400	16.033420	734		IncorrectNumberOfColumns
Andorra    Mountain	Casamanya Peak	42.584607	1.565447	2740 m	IncorrectNumberOfColumns
Fiji	Mountain	Korokayiu	-18.183330	177900	312 m	InvalidLongitude
Fiji	Mountain	Tomuna    -17.650000	178.783330	272 m	IncorrectNumberOfColumns
Ghana	Mountain	Asofa	5.644325	-0.280341	166		IncorrectNumberOfColumns
Germany	Mountain	Hinterreintalschrofen	??????	??????	2670 m	NonNumericLatitude
